id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,1,twr,rangingSuccessRate6
70,1,twr,rangingPerSec6
71,1,twr,rangingSuccessRate7
72,1,twr,rangingPerSec7
73,2,oa,front
74,2,oa,back
75,2,oa,up
76,2,oa,left
77,2,oa,right
78,7,usd,spiWrBps
79,7,usd,spiReBps
80,7,usd,fatWrBps
81,2,rpm,m1
82,2,rpm,m2
83,2,rpm,m3
84,2,rpm,m4
85,1,colorLedBot,deckTemp
86,1,colorLedBot,throttlePct
87,2,colorLedBot,ledCurR
88,2,colorLedBot,ledCurG
89,2,colorLedBot,ledCurB
90,2,colorLedBot,ledCurW
91,1,colorLedTop,deckTemp
92,1,colorLedTop,throttlePct
93,2,colorLedTop,ledCurR
94,2,colorLedTop,ledCurG
95,2,colorLedTop,ledCurB
96,2,colorLedTop,ledCurW
97,2,motor,m1
98,2,motor,m2
99,2,motor,m3
100,2,motor,m4
101,6,motor,m1req
102,6,motor,m2req
103,6,motor,m3req
104,6,motor,m4req
105,7,pm,vbat
106,2,pm,vbatMV
107,7,pm,extVbat
108,2,pm,extVbatMV
109,7,pm,extCurr
110,7,pm,chargeCurrent
111,4,pm,state
112,1,pm,batteryLevel
113,1,radio,rssi
114,1,radio,isConnected
115,2,radio,numRxBc
116,2,radio,numRxUc
117,5,gyro,xRaw
118,5,gyro,yRaw
119,5,gyro,zRaw
120,7,gyro,xVariance
121,7,gyro,yVariance
122,7,gyro,zVariance
123,7,gyro,x
124,7,gyro,y
125,7,gyro,z
126,3,colAv,latency
127,7,ext_pos,X
128,7,ext_pos,Y
129,7,ext_pos,Z
130,7,locSrv,x
131,7,locSrv,y
132,7,locSrv,z
133,7,locSrv,qx
134,7,locSrv,qy
135,7,locSrv,qz
136,7,locSrv,qw
137,2,locSrvZ,tick
138,2,crtp,rxRate
139,2,crtp,txRate
140,7,extrx,thrust
141,7,extrx,roll
142,7,extrx,pitch
143,7,extrx,rollRate
144,7,extrx,pitchRate
145,7,extrx,yawRate
146,7,extrx,zVel
147,1,extrx,AltHold
148,1,extrx,Arm
149,2,extrx_raw,ch0
150,2,extrx_raw,ch1
151,2,extrx_raw,ch2
152,2,extrx_raw,ch3
153,2,extrx_raw,ch4
154,2,extrx_raw,ch5
155,2,extrx_raw,ch6
156,2,extrx_raw,ch7
157,7,health,motorVarXM1
158,7,health,motorVarYM1
159,7,health,motorVarXM2
160,7,health,motorVarYM2
161,7,health,motorVarXM3
162,7,health,motorVarYM3
163,7,health,motorVarXM4
164,7,health,motorVarYM4
165,1,health,motorPass
166,7,health,batterySag
167,1,health,batteryPass
168,2,health,motorTestCount
169,7,suWrenchObs,f1
170,7,suWrenchObs,f2
171,7,suWrenchObs,f3
172,7,suWrenchObs,f4
173,2,suWrenchObs,pwm1
174,2,suWrenchObs,pwm2
175,2,suWrenchObs,pwm3
176,2,suWrenchObs,pwm4
177,7,suWrenchObs,bodyFx
178,7,suWrenchObs,bodyFy
179,7,suWrenchObs,bodyFz
180,7,suWrenchObs,worldFx
181,7,suWrenchObs,worldFy
182,7,suWrenchObs,worldFz
183,7,suWrenchObs,bodyTx
184,7,suWrenchObs,bodyTy
185,7,suWrenchObs,bodyTz
186,7,suWrenchObs,stateVx
187,7,suWrenchObs,stateVy
188,7,suWrenchObs,stateVz
189,7,suWrenchObs,posVx
190,7,suWrenchObs,posVy
191,7,suWrenchObs,posVz
192,7,suWrenchObs,accWx
193,7,suWrenchObs,accWy
194,7,suWrenchObs,accWz
195,3,suWrenchObs,zeroCnt
196,7,suVelFromPos,vx
